epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3437,1.75081,3.37304,1.47207,0.00333,1,0.845,0.55548,1.26905,3.04661,0.97549,0.00012,0.00012,0.00012
2,48.985,1.26767,1.91467,1.05381,0.999,1,0.995,0.58331,1.21828,2.49465,0.94918,0.000257426,0.000257426,0.000257426
3,73.2465,1.33912,1.65473,1.1242,0.00333,1,0.995,0.69623,1.10822,2.72288,0.90774,0.00039208,0.00039208,0.00039208
4,104.668,1.26636,1.50366,1.11429,0.98254,1,0.995,0.64017,1.19488,2.62827,0.95932,0.000523962,0.000523962,0.000523962
5,140.665,1.16456,1.35543,1.09746,1,0.46193,0.995,0.68294,1.12045,2.63369,0.92493,0.000653072,0.000653072,0.000653072
6,176.485,1.24837,1.34249,1.12364,1,0.44379,0.995,0.62664,1.20336,2.71239,1.01636,0.00077941,0.00077941,0.00077941
7,212.027,1.16348,1.2772,1.06703,1,0.6365,0.93141,0.53007,1.1787,2.56832,0.99085,0.000902976,0.000902976,0.000902976
8,247.35,1.12109,1.23243,1.05457,1,0.45919,0.70703,0.49918,1.09657,2.46759,0.97175,0.00102377,0.00102377,0.00102377
9,282.352,1.13304,1.2147,1.05989,1,0.33023,0.68756,0.51241,1.06154,2.62727,1.01159,0.00114179,0.00114179,0.00114179
10,318.561,1.19572,1.15089,1.09483,0.56056,0.34085,0.49019,0.32904,1.08799,2.48597,0.98925,0.00125704,0.00125704,0.00125704
11,355.07,1.18515,1.15996,1.12603,1,0.71867,0.92593,0.60743,1.14992,2.19998,1.07161,0.00136952,0.00136952,0.00136952
12,391.972,1.12008,1.10428,1.08127,1,0.97912,0.995,0.66963,1.11102,1.52444,1.04619,0.00147923,0.00147923,0.00147923
13,428.137,1.18314,1.02421,1.12207,1,0.99609,0.995,0.68679,1.09667,1.31478,1.08164,0.00158616,0.00158616,0.00158616
14,464.526,1.13738,1.06248,1.0776,0.9856,1,0.995,0.63522,1.29447,1.41971,1.10393,0.00169032,0.00169032,0.00169032
15,500.622,1.22822,1.05482,1.13067,0.91297,1,0.99125,0.69138,1.16021,1.42603,1.08748,0.0017228,0.0017228,0.0017228
16,538.909,1.09375,0.95695,1.04145,0.99463,1,0.995,0.70009,1.11257,1.04872,1.03684,0.001703,0.001703,0.001703
17,575.688,1.12338,0.96092,1.03103,0.99299,1,0.995,0.67771,1.25401,1.12596,1.09551,0.0016832,0.0016832,0.0016832
18,611.373,1.14407,0.98061,1.06743,0.99543,1,0.995,0.68662,1.16762,1.14843,1.11791,0.0016634,0.0016634,0.0016634
19,647.121,1.13475,0.88767,1.09535,0.99454,1,0.995,0.66234,1.23146,1.00035,1.13229,0.0016436,0.0016436,0.0016436
20,685.539,1.13283,0.84367,1.07074,0.99537,1,0.995,0.68645,1.18125,0.9667,1.13429,0.0016238,0.0016238,0.0016238
21,721.175,1.13637,0.85624,1.09989,0.99585,1,0.995,0.68827,1.1619,1.02088,1.08295,0.001604,0.001604,0.001604
22,759.393,1.10291,0.82754,1.08546,0.99572,1,0.995,0.695,1.13094,0.88388,1.02144,0.0015842,0.0015842,0.0015842
23,796.639,1.08694,0.8087,1.0849,0.99265,1,0.995,0.64647,1.30296,0.9885,1.10159,0.0015644,0.0015644,0.0015644
24,833.712,1.12972,0.82494,1.08689,0.99134,1,0.995,0.60789,1.32877,0.97826,1.11331,0.0015446,0.0015446,0.0015446
25,870.025,1.18027,0.87463,1.10969,0.99289,1,0.995,0.64587,1.30552,0.95719,1.11241,0.0015248,0.0015248,0.0015248
26,907.261,1.09029,0.80967,1.0791,0.99371,1,0.995,0.53516,1.40269,1.00125,1.12788,0.001505,0.001505,0.001505
27,943.275,1.08284,0.76029,1.05906,0.98316,1,0.995,0.64875,1.17462,1.05313,1.03817,0.0014852,0.0014852,0.0014852
28,984.253,1.11726,0.74748,1.07532,0.99579,1,0.995,0.68711,1.07264,0.85919,1.10886,0.0014654,0.0014654,0.0014654
29,1023.29,1.14717,0.78705,1.13363,0.99593,1,0.995,0.69781,1.08921,0.80268,1.1044,0.0014456,0.0014456,0.0014456
30,1058.51,1.0176,0.73825,1.04045,0.99321,1,0.995,0.67814,1.16994,0.75807,1.11496,0.0014258,0.0014258,0.0014258
31,1094.69,1.06549,0.72322,1.07304,0.99475,1,0.995,0.63306,1.1962,0.73866,1.12213,0.001406,0.001406,0.001406
32,1130.41,1.19479,0.77808,1.13536,0.99497,1,0.995,0.65339,1.20839,0.72159,1.08818,0.0013862,0.0013862,0.0013862
33,1165.37,1.18021,0.7989,1.10773,0.99371,1,0.995,0.6667,1.15046,0.72871,1.04817,0.0013664,0.0013664,0.0013664
34,1201.98,1.10417,0.69167,1.08292,0.99453,1,0.995,0.68261,1.12878,0.68409,1.04895,0.0013466,0.0013466,0.0013466
35,1241.61,1.06436,0.67523,1.06726,0.99541,1,0.995,0.63114,1.34067,0.79441,1.14729,0.0013268,0.0013268,0.0013268
36,1276.62,1.05054,0.69419,1.07156,0.99585,1,0.995,0.6184,1.35693,0.77981,1.2241,0.001307,0.001307,0.001307
37,1311.57,1.08677,0.63889,1.07077,0.99581,1,0.995,0.64602,1.2832,0.73317,1.19423,0.0012872,0.0012872,0.0012872
38,1347.78,1.0247,0.65796,1.07321,0.99638,1,0.995,0.67566,1.17298,0.68808,1.11542,0.0012674,0.0012674,0.0012674
39,1384.81,1.11408,0.62642,1.07909,0.99621,1,0.995,0.65054,1.15043,0.65784,1.08629,0.0012476,0.0012476,0.0012476
40,1420.75,1.02187,0.65912,1.07145,0.99591,1,0.995,0.69181,1.08737,0.639,1.05075,0.0012278,0.0012278,0.0012278
41,1456.63,1.15855,0.6952,1.10895,0.99539,1,0.995,0.68242,1.09243,0.64528,1.04574,0.001208,0.001208,0.001208
42,1493.89,1.07562,0.64847,1.07788,0.99592,1,0.995,0.64791,1.14994,0.66278,1.08465,0.0011882,0.0011882,0.0011882
43,1532.92,1.04344,0.61735,1.06481,0.9958,1,0.995,0.66806,1.18458,0.66475,1.10613,0.0011684,0.0011684,0.0011684
44,1572.49,1.06717,0.64595,1.09028,0.99594,1,0.995,0.69059,1.18582,0.62624,1.11083,0.0011486,0.0011486,0.0011486
45,1609.21,1.0056,0.61837,1.04607,0.99576,1,0.995,0.69197,1.2006,0.61414,1.09994,0.0011288,0.0011288,0.0011288
46,1646.06,1.03728,0.6046,1.08803,0.99527,1,0.995,0.63332,1.31098,0.64745,1.15554,0.001109,0.001109,0.001109
47,1683.48,1.00242,0.58332,1.06019,0.99543,1,0.995,0.63457,1.35475,0.65198,1.20692,0.0010892,0.0010892,0.0010892
48,1719.73,0.98461,0.59657,1.05788,0.99481,1,0.995,0.63011,1.31462,0.61982,1.19393,0.0010694,0.0010694,0.0010694
49,1758.18,1.10734,0.59425,1.10802,0.99461,1,0.995,0.63761,1.32488,0.61854,1.18969,0.0010496,0.0010496,0.0010496
50,1794.39,1.04263,0.57877,1.0799,0.99601,1,0.995,0.6289,1.37325,0.63033,1.19192,0.0010298,0.0010298,0.0010298
51,1831.2,1.05058,0.57566,1.08849,0.99594,1,0.995,0.655,1.23667,0.5623,1.12675,0.00101,0.00101,0.00101
52,1868.53,1.00866,0.54927,1.06703,0.99609,1,0.995,0.72463,1.03923,0.52865,1.06001,0.0009902,0.0009902,0.0009902
53,1906.77,1.04141,0.57539,1.07697,0.99606,1,0.995,0.68712,1.11486,0.52234,1.07745,0.0009704,0.0009704,0.0009704
54,1945.23,0.99988,0.54713,1.05305,0.99601,1,0.995,0.67722,1.20819,0.51454,1.13275,0.0009506,0.0009506,0.0009506
55,1980.97,0.95291,0.50997,1.03293,0.99614,1,0.995,0.69963,1.12745,0.49286,1.1084,0.0009308,0.0009308,0.0009308
56,2016.8,1.0231,0.55745,1.06215,0.99614,1,0.995,0.69759,1.10343,0.52254,1.09038,0.000911,0.000911,0.000911
57,2051.85,0.99349,0.5495,1.07481,0.99606,1,0.995,0.70677,1.10956,0.51355,1.0936,0.0008912,0.0008912,0.0008912
58,2088.27,1.07065,0.5621,1.06423,0.99605,1,0.995,0.69878,1.09099,0.49217,1.07491,0.0008714,0.0008714,0.0008714
59,2124.8,1.09327,0.57871,1.0897,0.99564,1,0.995,0.71331,1.08731,0.50219,1.07229,0.0008516,0.0008516,0.0008516
60,2162.04,1.01474,0.54532,1.05569,0.99579,1,0.995,0.68518,1.18627,0.52312,1.09853,0.0008318,0.0008318,0.0008318
61,2195.52,1.01564,0.52774,1.04714,0.99602,1,0.995,0.66885,1.22712,0.52785,1.12049,0.000812,0.000812,0.000812
62,2228.12,1.04871,0.55387,1.0858,0.99607,1,0.995,0.66981,1.22425,0.5729,1.13159,0.0007922,0.0007922,0.0007922
63,2258.03,1.07735,0.56897,1.12389,0.99601,1,0.995,0.71929,1.13957,0.5566,1.12394,0.0007724,0.0007724,0.0007724
64,2285.43,1.02666,0.51724,1.08152,0.99578,1,0.995,0.7075,1.14491,0.53086,1.12176,0.0007526,0.0007526,0.0007526
65,2308.24,1.01845,0.5411,1.08537,0.99586,1,0.995,0.68497,1.16922,0.53269,1.12179,0.0007328,0.0007328,0.0007328
66,2331.79,1.00658,0.51983,1.06385,0.99603,1,0.995,0.64764,1.24376,0.52517,1.1443,0.000713,0.000713,0.000713
67,2354.65,1.02791,0.5214,1.08221,0.99628,1,0.995,0.66733,1.20306,0.5132,1.12775,0.0006932,0.0006932,0.0006932
68,2380.26,1.02009,0.54733,1.06844,0.99631,1,0.995,0.64986,1.28216,0.52848,1.17677,0.0006734,0.0006734,0.0006734
69,2405.87,1.03987,0.54215,1.06367,0.99625,1,0.995,0.61074,1.34598,0.5513,1.20605,0.0006536,0.0006536,0.0006536
70,2429.24,0.98354,0.52684,1.04013,0.99606,1,0.995,0.63464,1.30318,0.5447,1.18314,0.0006338,0.0006338,0.0006338
71,2464.86,1.01903,0.55205,1.06429,0.99581,1,0.995,0.68251,1.20365,0.51319,1.14765,0.000614,0.000614,0.000614
72,2490.5,0.9756,0.50684,1.0301,0.99605,1,0.995,0.68325,1.19072,0.49316,1.1287,0.0005942,0.0005942,0.0005942
73,2525.47,0.94685,0.49352,1.03268,0.99608,1,0.995,0.68253,1.18561,0.4818,1.11544,0.0005744,0.0005744,0.0005744
74,2562.35,0.95593,0.47745,1.02377,0.99625,1,0.995,0.69581,1.17837,0.48074,1.09363,0.0005546,0.0005546,0.0005546
75,2596.06,1.00335,0.50874,1.04322,0.99635,1,0.995,0.72951,1.16431,0.4771,1.08678,0.0005348,0.0005348,0.0005348
76,2629.15,1.00334,0.49632,1.07354,0.99636,1,0.995,0.72939,1.14126,0.45205,1.08569,0.000515,0.000515,0.000515
77,2663.73,0.97482,0.49608,1.05527,0.99624,1,0.995,0.71378,1.15043,0.44696,1.09234,0.0004952,0.0004952,0.0004952
78,2696.68,0.96763,0.46028,1.01775,0.99615,1,0.995,0.719,1.17333,0.46007,1.11265,0.0004754,0.0004754,0.0004754
79,2730.24,0.98636,0.50152,1.07256,0.99593,1,0.995,0.69124,1.22448,0.47313,1.14383,0.0004556,0.0004556,0.0004556
80,2764.17,0.95879,0.48302,1.03389,0.99597,1,0.995,0.67543,1.24815,0.48487,1.15181,0.0004358,0.0004358,0.0004358
81,2797.57,0.97809,0.50574,1.05426,0.99595,1,0.995,0.68117,1.25343,0.48649,1.14878,0.000416,0.000416,0.000416
82,2831.02,0.97698,0.50707,1.04983,0.99632,1,0.995,0.66668,1.25612,0.47912,1.14544,0.0003962,0.0003962,0.0003962
83,2863.74,0.97135,0.46198,1.05329,0.99634,1,0.995,0.6819,1.21435,0.46976,1.13082,0.0003764,0.0003764,0.0003764
84,2897.27,0.95065,0.47673,1.05498,0.99631,1,0.995,0.6868,1.16637,0.45665,1.11556,0.0003566,0.0003566,0.0003566
85,2930.93,0.9341,0.47415,1.04137,0.99627,1,0.995,0.68923,1.1603,0.4569,1.11428,0.0003368,0.0003368,0.0003368
86,2965.67,0.92069,0.47184,1.02846,0.99613,1,0.995,0.70016,1.16466,0.4613,1.11422,0.000317,0.000317,0.000317
87,2999.78,0.94685,0.48323,1.03682,0.99609,1,0.995,0.69579,1.18613,0.46174,1.12296,0.0002972,0.0002972,0.0002972
88,3033.31,0.933,0.46212,1.01827,0.99609,1,0.995,0.70604,1.17654,0.45628,1.1175,0.0002774,0.0002774,0.0002774
89,3066.74,0.99731,0.46328,1.0544,0.99611,1,0.995,0.69442,1.18798,0.45603,1.11963,0.0002576,0.0002576,0.0002576
90,3100.2,0.91105,0.45045,1.02453,0.99605,1,0.995,0.6842,1.19829,0.45241,1.12153,0.0002378,0.0002378,0.0002378
91,3134.64,0.87418,0.46703,1.02782,0.99608,1,0.995,0.68857,1.17717,0.44005,1.1175,0.000218,0.000218,0.000218
92,3168.4,0.93503,0.45446,1.03612,0.99612,1,0.995,0.70676,1.16574,0.43792,1.11527,0.0001982,0.0001982,0.0001982
93,3203.14,0.90994,0.45152,1.02959,0.99601,1,0.995,0.69609,1.17388,0.43958,1.11916,0.0001784,0.0001784,0.0001784
94,3236.68,0.89663,0.44317,1.02383,0.9958,1,0.995,0.69647,1.18971,0.44917,1.12319,0.0001586,0.0001586,0.0001586
95,3269.84,0.89454,0.45563,1.02175,0.99575,1,0.995,0.682,1.20967,0.45672,1.13144,0.0001388,0.0001388,0.0001388
96,3303.34,0.91271,0.46105,1.04367,0.99571,1,0.995,0.67749,1.2338,0.4609,1.14226,0.000119,0.000119,0.000119
97,3336.12,0.87847,0.42496,0.987,0.99585,1,0.995,0.67203,1.23885,0.4589,1.14689,9.92e-05,9.92e-05,9.92e-05
98,3369.19,0.90312,0.44824,1.04168,0.99595,1,0.995,0.68072,1.23928,0.4562,1.14844,7.94e-05,7.94e-05,7.94e-05
99,3401.92,0.87045,0.43314,1.01332,0.99603,1,0.995,0.67574,1.23648,0.45307,1.15106,5.96e-05,5.96e-05,5.96e-05
100,3422.89,0.88191,0.43033,0.99519,0.99608,1,0.995,0.67193,1.23357,0.45066,1.15046,3.98e-05,3.98e-05,3.98e-05
